type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Movie;Bigflo & Oli: Hip Hop Frenzy;Bigflo & Oli, Jérémie Levypon;Bigflo & Oli;France;October 8, 2020;2020;TV-MA;100 min;Documentaries, International Movies, Music & Musicals;Go backstage with French rap duo Bigflo & Oli in this intimate music documentary, then join the superstar siblings as they embark on a major tour.
Movie;Love Wedding Repeat;Dean Craig;Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson, Joel Fry, Tim Key, Aisling Bea, Jack Farthing, Allan Mustafa;United Kingdom, Italy;April 10, 2020;2020;TV-MA;101 min;Comedies, International Movies, Romantic Movies;Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding.
Movie;We Can Be Heroes;Robert Rodriguez;YaYa Gosselin, Pedro Pascal, Priyanka Chopra, Isaiah Russell-Bailey, Akira Akbar, Christian Slater, Boyd Holbrook, Adriana Barraza, Taylor Dooley, Vivien Lyra Blair, Hala Finley, Lyon Daniels, Sung Kang, Christopher McDonald, Andy Walken, Lotus Blossom, Haley Reinhart, Nathan Blair, Dylan Henry Lau, Andrew Diaz;United States;December 25, 2020;2020;PG;101 min;Children & Family Movies, Comedies;When alien invaders capture Earth’s superheroes, their kids must learn to work together to save their parents — and the planet.
Movie;Just Another Christmas;Roberto Santucci;Leandro Hassum, Elisa Pinheiro, Danielle Winits, Louise Cardoso, Rodrigo Fagundes, Arianne Botelho, Miguel Rômulo, José Rubens Chachá, Levi Ferreira, Daniel Filho;Brazil;December 3, 2020;2020;TV-MA;101 min;Comedies, International Movies;Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life.
Movie;The Heartbreak Club;Charles Gozali, Bagus Bramanti;Bhisma Mulia, Denira Wiraguna, Didi Kempot, Sisca JKT48, Erick Estrada, Asri Welas, Mo Sidik, Emil Kusumo, Dede Satria, Rezca Syam;Indonesia;January 14, 2021;2020;TV-14;101 min;Comedies, Dramas, International Movies;Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot.
Movie;Asphalt Burning;Hallvard Bræin;Anders Baasmo, Kathrine Thorborg Johansen, Ida Husøy, Otto Jespersen, Sven Nordin, Trond Halbo, Alexandra Maria Lara, Wenche Myhre, Kostja Ullmann, Björn Kjellman;Norway;January 2, 2021;2020;TV-14;101 min;Action & Adventure, Comedies, International Movies;When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany.
Movie;The Shadow of Violence;Nick Rowland;Cosmo Jarvis, Barry Keoghan, Niamh Algar, Ned Dennehy, Kiljan Tyr Moroney, David Wilmot, Brid Brennan, Simone Kirby, Anthony Welsh;United Kingdom, Ireland;January 21, 2021;2020;R;101 min;Dramas;As he reconciles with his ex and their son, an enforcer for a crime family gets an order that tests his loyalty and endangers everyone he holds dear.
Movie;100% Halal;Jastis Arimba;Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih;Indonesia;January 7, 2021;2020;TV-14;101 min;Dramas, International Movies;After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.
Movie;Axone;Nicholas Kharkongor;Sayani Gupta, Lin Laishram, Tenzing Dalha, Dolly Ahluwalia, Vinay Pathak, Lanuakam Ao, Rohan Joshi, Adil Hussain, Asenla Jamir;India;June 12, 2020;2020;TV-MA;101 min;Comedies, Dramas, Independent Movies;In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.
Movie;Fan Girl;Antoinette Jadaone;Charlie Dizon, Paulo Avelino;Philippines;June 17, 2021;2020;TV-MA;101 min;Dramas, Independent Movies, International Movies;An infatuated fan finds an unexpected way to meet her celebrity crush and discovers a dark reality behind the facade of fame and her fantasy world.
Movie;2 Hearts;Lance Hool;Jacob Elordi, Adan Canto, Radha Mitchell, Tiera Skovbye, Kari Matchett, Tahmoh Penikett;United States;June 2, 2021;2020;PG-13;101 min;Dramas, Faith & Spirituality, Romantic Movies;In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.
Movie;Jai Mummy Di;Navjot Gulati;Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonalli Sehgall, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Alok Nath;India;March 14, 2020;2020;TV-MA;101 min;Comedies, International Movies, Romantic Movies;Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war.
Movie;A Choo;Kevin Ko, Peter Tsi;Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui;Taiwan;October 14, 2020;2020;TV-14;101 min;Action & Adventure, International Movies, Romantic Movies;Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain.
Movie;The Stand-In;Jamie Babbit;Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor, Ellie Kemper, Andrew Rannells, Michelle Buteau;United States;April 10, 2021;2020;R;102 min;Comedies;Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role.
Movie;Into the Beat;Stefan Westerwelle;Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers;Germany;April 16, 2021;2020;TV-14;102 min;Dramas, International Movies, Romantic Movies;A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
Movie;Synchronic;Justin Benson, Aaron Moorhead;Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.;United States;April 16, 2021;2020;R;102 min;Thrillers;Two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.
Movie;Crazy Awesome Teachers;Sammaria Sari Simanjuntak;Gading Marten, Dian Sastrowardoyo, Faradina Mufti, Boris Bokir, Kevin Ardilova, Shakira Jasmine, Asri Welas, Arswendi Bening Swara, Kiki Narendra, Ibnu Jamil;Indonesia;August 17, 2020;2020;TV-PG;102 min;Comedies, Dramas, International Movies;When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching.
Movie;To All the Boys: P.S. I Still Love You;Michael Fimognari;Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, Janel Parrish, Ross Butler, Madaleine Arthur, Emilija Baranac, Trezzo Mahoro, Holland Taylor, Sarayu Blue, John Corbett;United States;February 12, 2020;2020;TV-14;102 min;Comedies, Romantic Movies;Lara Jean is officially Peter’s girlfriend, so everything should be perfect, right? But feelings grow complicated when an old crush reenters her life.
Movie;Live Twice, Love Once;Maria Ripoll;Oscar Martínez, Inma Cuesta, Mafalda Carbonell, Nacho López, Isabel Requena, Aina Clotet, Antonio Valero, María Zamora, Hugo Balaguer, Valeria Schoneveld;Spain;January 7, 2020;2020;TV-MA;102 min;Comedies, Dramas, International Movies;When Emilio (Oscar Martínez) is diagnosed with Alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush.
Movie;Under the Riccione Sun;Younuts!;Cristiano Caccamo, Lorenzo Zurzolo, Ludovica Martino, Davide Calgaro, Matteo Oscar Giuggioli, Saul Nanni, Fotinì Peluso, Claudia Tranchese, Isabella Ferrari, Luca Ward, Andrea Roncato, Giulia Schiavo, Maria Luisa De Crescenzo, Sergio Ruggeri, Rosanna Sapia, Tommaso Paradiso;Italy;July 1, 2020;2020;TV-MA;102 min;Comedies, International Movies, Romantic Movies;While vacationing on the beaches of Riccione, a group of teens become friends and help each other manage romantic relationships and summer crushes.
Movie;Milkwater;Morgan Ingari;Molly Bernard, Patrick Breen, Robin de Jesús, Ava Eisenson, Ade Otukoya;United States;July 20, 2021;2020;TV-MA;102 min;Comedies, Dramas, Independent Movies;Aimless 20-something Milo impulsively becomes a gay man’s surrogate and wrestles with the emotional complexities of her non-traditional decision.
Movie;Jiu Jitsu;Dimitri Logothetis;Alain Moussi, Nicolas Cage, Tony Jaa, Rick Yune, Frank Grillo, Marie Avgeropoulos, JuJu Chan, Ryan Tarran, Eddie Steeples, Raymond Pinharry, Mary Makariou;United States;March 20, 2021;2020;R;102 min;Action & Adventure;After the defeat of a celebrated war hero, an ancient order of fighters battles powerful space invaders as the fate of humanity hangs in the balance.
Movie;All Because of You;Adrian Teh;Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling;Malaysia;October 1, 2020;2020;TV-PG;102 min;Action & Adventure, Comedies, International Movies;After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.
Movie;Tremors: Shrieker Island;Don Michael Paul;Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake;United States;October 20, 2020;2020;PG-13;102 min;Action & Adventure, Horror Movies;When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts.
Movie;The Babysitter: Killer Queen;McG;Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell;United States;September 10, 2020;2020;TV-MA;102 min;Comedies, Horror Movies;Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.
Movie;SETHUM AAYIRAM PON;Anand Ravichandran;Nivedhithaa Sathish, Srilekha Rajendran, Avinash Raghudevan, Gabrella Sellus, Rathaa Krishnan P., Rajendran;India;April 1, 2020;2020;TV-MA;103 min;Dramas, Independent Movies, International Movies;Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.
Movie;The Main Event;Jay Karas;Seth Carr, Tichina Arnold, Adam Pally, Ken Marino, Mike 'The Miz' Mizanin, Momona Tamada, Keith Lee, Babatunde Aiyegbusi, Kofi Kingston;United States;April 10, 2020;2020;TV-G;103 min;Children & Family Movies, Comedies, Sports Movies;Using special powers from a magical mask, a young WWE fan causes chaos when he enters a wrestling competition and fights an intimidating rival.
Movie;Shine Your Eyes;Matias Mariani;O.C. Ukeje, Indira Nascimento, Paulo André, Ike Barry, Chukwudi Iwuji;Brazil, France;July 29, 2020;2020;TV-MA;103 min;Dramas, Independent Movies, International Movies;A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.
Movie;Go Karts;Owen Trevor;William Lodder, Anastasia Bampos, Darius Amarfio-Jefferson, Richard Roxburgh, Frances O'Connor, Dan Wyllie, Cooper van Grootel, Damian de Montemas, Adam T. Perkins;Australia;March 13, 2020;2020;TV-PG;103 min;Children & Family Movies, Dramas;A fearless teen leans into the rush of high-speed go-kart racing, backed by good friends — and a surly ex-driver who becomes his coach.
Movie;The Stand at Paxton County;Brett Hedlund;Jacqueline Toboni, Michael O'Neill, Tyler Jacob Moore, Christopher McDonald, Sean O'Bryan, Blake Sheldon, Zoe Kanters, Greg Perrow, Tanner Thomason;United States;May 2, 2020;2020;R;103 min;Dramas, Independent Movies, Thrillers;A military veteran comes home to find her father harassed by a sheriff intent on confiscating the livestock on their ranch under shady pretenses.
Movie;Mosul;Matthew Michael Carnahan;Suhail Dabbach, Adam Bessa, Is'haq Elias, Qutaiba Abdelhaq, Ahmad El Ghanem, Hicham Ouarqa, Mohimen Mahbuba, Thaer Al-Shayei, Abdellah Bensaid, Faycal Attougui, Mohamed Attougui, Tarik Belmekki, Hayat Kamille, Seema Al Khalidi, Waleed Algadi;United States;November 26, 2020;2020;TV-MA;103 min;Action & Adventure, Dramas, International Movies;After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul.
Movie;Nobody Sleeps in the Woods Tonight;Bartosz M. Kowalski;Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski;Poland;October 28, 2020;2020;TV-MA;103 min;Horror Movies, International Movies;Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.
Movie;Dad Wanted;Javier Colinas;Natalia Coronado, Juan Pablo Medina, Silvia Navarro, Roberto Quijano, Victoria Viera, Arantxa Servín, Aleyda Gallardo, Joaquín Emanuel, Abril Michel, Omar Fierro, Luis Ernesto Franco, Patricia Reyes Spíndola, Rodrigo Murray, Luis Arrieta, Alberto Guerra, Moisés Arizmendi, David Fridman, Martha Claudia Moreno, Ela Velden, Gonzalo García Vivanco, Mauricio Argüelles, César Rodríguez;Mexico;September 11, 2020;2020;TV-14;103 min;Children & Family Movies, Comedies, Dramas;What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.
Movie;Rogue Warfare: The Hunt;Mike Gunther;Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang;United States;August 1, 2020;2020;R;104 min;Action & Adventure;When their leader is captured by an extremist organization, a special forces team stages a perilous rescue mission as time runs out.
Movie;The Sleepover;Trish Sie;Sadie Stanley, Maxwell Simkins, Ken Marino, Malin Akerman, Cree Cicchino, Lucas Jaye, Karla Souza, Enuka Okuma, Erik Griffin, Joe Manganiello;United States;August 21, 2020;2020;TV-PG;104 min;Action & Adventure, Children & Family Movies, Comedies;What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure — complete with spy gear.
Movie;André & his olive tree;Josiah Ng;André Chiang;Singapore;December 8, 2020;2020;TV-PG;104 min;Documentaries, International Movies;As he prepares to close his restaurant, Michelin-starred Chef André Chiang embarks on a personal and emotional journey of reflection.
Movie;Horse Girl;Jeff Baena;Alison Brie, Debby Ryan, Paul Reiser, John Reynolds, Molly Shannon, John Ortiz, Meredith Hagner, Jake Picking, David Paymer, Jay Duplass;United States;February 7, 2020;2020;R;104 min;Dramas, Independent Movies;A sweet misfit with a fondness for crafts, horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.
